,id,created_at,updated_at,event_type,payload,uuid,device_type,coordinates,path,path_coordinates
179,2831,18:45.2,18:45.2,civilian,"{""uuid"":""2lmrjdoJ237Z"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510475,-67.079757"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""9463ABBF713C,A85FABBF713C,AC65ABBF713C,44E855A4AE30""}",2lmrjdoJ237Z,papa-duck,"[18.510475, -67.079757]","9463ABBF713C,A85FABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.510475, -67.079757]), array([ 18.509224, -67.077522]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
197,2849,22:13.8,22:13.8,civilian,"{""uuid"":""hAkKlMLz8qgM"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.512720,-67.079797"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""A859A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",hAkKlMLz8qgM,papa-duck,"[18.51272, -67.079797]","A859A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.51272 , -67.079797]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
199,2851,22:20.3,22:20.3,civilian,"{""uuid"":""hAkKlMLz8qgM"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.512720,-67.079797"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""A859A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",hAkKlMLz8qgM,papa-duck,"[18.51272, -67.079797]","A859A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.51272 , -67.079797]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
213,2865,26:15.1,26:15.1,civilian,"{""uuid"":""eeusfZ8AE8mv"",""civilian"":{""info"":{""name"":""Team Alpha"",""phone"":""1234567890"",""location"":""18.512733,-67.077200"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""LETS GOOOOO!!""},""path"":""E87A178E0D84,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",eeusfZ8AE8mv,papa-duck,"[18.512733, -67.0772]","E87A178E0D84,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.512733, -67.0772  ]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
215,2867,26:16.5,26:16.5,civilian,"{""uuid"":""eeusfZ8AE8mv"",""civilian"":{""info"":{""name"":""Team Alpha"",""phone"":""1234567890"",""location"":""18.512733,-67.077200"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""LETS GOOOOO!!""},""path"":""E87A178E0D84,705BA9BF713C,44E855A4AE30""}",eeusfZ8AE8mv,papa-duck,"[18.512733, -67.0772]","E87A178E0D84,705BA9BF713C,44E855A4AE30","[array([ 18.512733, -67.0772  ]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
237,2889,31:02.4,31:02.4,civilian,"{""uuid"":""xioGCMhFLPC8"",""civilian"":{""info"":{""name"":""Alpha"",""phone"":""1234567890"",""location"":""18.512860,-67.074230"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hey Beta!""},""path"":""3057A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",xioGCMhFLPC8,papa-duck,"[18.51286, -67.07423]","3057A9BF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
239,2892,31:09.5,31:09.5,civilian,"{""uuid"":""xioGCMhFLPC8"",""civilian"":{""info"":{""name"":""Alpha"",""phone"":""1234567890"",""location"":""18.512860,-67.074230"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hey Beta!""},""path"":""3057A9BF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30""}",xioGCMhFLPC8,papa-duck,"[18.51286, -67.07423]","3057A9BF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
241,2893,31:18.5,31:18.5,civilian,"{""uuid"":""xioGCMhFLPC8"",""civilian"":{""info"":{""name"":""Alpha"",""phone"":""1234567890"",""location"":""18.512860,-67.074230"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hey Beta!""},""path"":""3057A9BF713C,705BA9BF713C,D4438CBF713C,50AD81E350CC,A859A9BF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30""}",xioGCMhFLPC8,papa-duck,"[18.51286, -67.07423]","3057A9BF713C,705BA9BF713C,D4438CBF713C,50AD81E350CC,A859A9BF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.509071, -67.074898]), array([ 18.51272 , -67.079797]), array([ 18.512733, -67.0772  ]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
243,2895,31:24.5,31:24.5,civilian,"{""uuid"":""xioGCMhFLPC8"",""civilian"":{""info"":{""name"":""Alpha"",""phone"":""1234567890"",""location"":""18.512860,-67.074230"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hey Beta!""},""path"":""3057A9BF713C,705BA9BF713C,D4438CBF713C,50AD81E350CC,A859A9BF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30""}",xioGCMhFLPC8,papa-duck,"[18.51286, -67.07423]","3057A9BF713C,705BA9BF713C,D4438CBF713C,50AD81E350CC,A859A9BF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.509071, -67.074898]), array([ 18.51272 , -67.079797]), array([ 18.512733, -67.0772  ]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
261,2913,35:59.6,35:59.6,civilian,"{""uuid"":""iJWI1F0QggHr"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511482,-67.071822"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Is it just me, or is it hot out here?""},""path"":""3057A9BF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",iJWI1F0QggHr,papa-duck,"[18.511482, -67.071822]","3057A9BF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
263,2916,36:06.3,36:06.3,civilian,"{""uuid"":""iJWI1F0QggHr"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511482,-67.071822"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Is it just me, or is it hot out here?""},""path"":""3057A9BF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",iJWI1F0QggHr,papa-duck,"[18.511482, -67.071822]","3057A9BF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.511482, -67.071822]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
272,2924,44:41.7,44:41.7,civilian,"{""uuid"":""RV5CEfaDzuTD"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.509947,-67.071246"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""In the jungle, the mighty jungle.""},""path"":""8C5EABBF713C,44E855A4AE30""}",RV5CEfaDzuTD,papa-duck,"[18.509947, -67.071246]","8C5EABBF713C,44E855A4AE30","[array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
273,2925,44:42.6,44:42.6,civilian,"{""uuid"":""RV5CEfaDzuTD"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.509947,-67.071246"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""In the jungle, the mighty jungle.""},""path"":""8C5EABBF713C,705BA9BF713C,A85FABBF713C,D4438CBF713C,44E855A4AE30""}",RV5CEfaDzuTD,papa-duck,"[18.509947, -67.071246]","8C5EABBF713C,705BA9BF713C,A85FABBF713C,D4438CBF713C,44E855A4AE30","[array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.509224, -67.077522]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
275,2928,44:47.2,44:47.2,civilian,"{""uuid"":""RV5CEfaDzuTD"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.509947,-67.071246"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""In the jungle, the mighty jungle.""},""path"":""8C5EABBF713C,705BA9BF713C,44E855A4AE30""}",RV5CEfaDzuTD,papa-duck,"[18.509947, -67.071246]","8C5EABBF713C,705BA9BF713C,44E855A4AE30","[array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
277,2929,44:54.7,44:54.7,civilian,"{""uuid"":""RV5CEfaDzuTD"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.509947,-67.071246"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""In the jungle, the mighty jungle.""},""path"":""8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",RV5CEfaDzuTD,papa-duck,"[18.509947, -67.071246]","8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
312,2964,54:47.3,54:47.3,civilian,"{""uuid"":""KxqoWN44irrF"",""civilian"":{""info"":{""name"":""Hey Alpha"",""phone"":""1234567890"",""location"":""18.509781,-67.069342"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""NEED WATER!!!!!! NECESITO AGAU""},""path"":""C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",KxqoWN44irrF,papa-duck,"[18.509781, -67.069342]","C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
314,2966,54:54.6,54:54.6,civilian,"{""uuid"":""KxqoWN44irrF"",""civilian"":{""info"":{""name"":""Hey Alpha"",""phone"":""1234567890"",""location"":""18.509781,-67.069342"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""NEED WATER!!!!!! NECESITO AGAU""},""path"":""C4408CBF713C,8C5EABBF713C,AC65ABBF713C,44E855A4AE30""}",KxqoWN44irrF,papa-duck,"[18.509781, -67.069342]","C4408CBF713C,8C5EABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
316,2968,55:01.1,55:01.1,civilian,"{""uuid"":""KxqoWN44irrF"",""civilian"":{""info"":{""name"":""Hey Alpha"",""phone"":""1234567890"",""location"":""18.509781,-67.069342"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""NEED WATER!!!!!! NECESITO AGAU""},""path"":""C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,A85FABBF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30""}",KxqoWN44irrF,papa-duck,"[18.509781, -67.069342]","C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,A85FABBF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30","[array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.509071, -67.074898]), array([ 18.509224, -67.077522]), array([ 18.512733, -67.0772  ]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
319,2971,55:06.9,55:06.9,civilian,"{""uuid"":""KxqoWN44irrF"",""civilian"":{""info"":{""name"":""Hey Alpha"",""phone"":""1234567890"",""location"":""18.509781,-67.069342"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""NEED WATER!!!!!! NECESITO AGAU""},""path"":""C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,A85FABBF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30""}",KxqoWN44irrF,papa-duck,"[18.509781, -67.069342]","C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,A85FABBF713C,E87A178E0D84,AC65ABBF713C,44E855A4AE30","[array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.509071, -67.074898]), array([ 18.509224, -67.077522]), array([ 18.512733, -67.0772  ]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
330,2982,58:04.3,58:04.3,civilian,"{""uuid"":""mtldKD0Eslrz"",""civilian"":{""info"":{""name"":""BRAVO"",""phone"":""1234567890"",""location"":""18.509696,-67.066926"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Beach time!!!""},""path"":""845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",mtldKD0Eslrz,papa-duck,"[18.509696, -67.066926]","845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
332,2985,58:05.2,58:05.2,civilian,"{""uuid"":""mtldKD0Eslrz"",""civilian"":{""info"":{""name"":""BRAVO"",""phone"":""1234567890"",""location"":""18.509696,-67.066926"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Beach time!!!""},""path"":""845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,44E855A4AE30""}",mtldKD0Eslrz,papa-duck,"[18.509696, -67.066926]","845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,44E855A4AE30","[array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.509071, -67.074898]), array([ 18.508568, -67.072667])]"
334,2987,58:10.5,58:10.5,civilian,"{""uuid"":""mtldKD0Eslrz"",""civilian"":{""info"":{""name"":""BRAVO"",""phone"":""1234567890"",""location"":""18.509696,-67.066926"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Beach time!!!""},""path"":""845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",mtldKD0Eslrz,papa-duck,"[18.509696, -67.066926]","845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
337,2989,58:11.5,58:11.5,civilian,"{""uuid"":""mtldKD0Eslrz"",""civilian"":{""info"":{""name"":""BRAVO"",""phone"":""1234567890"",""location"":""18.509696,-67.066926"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Beach time!!!""},""path"":""845FABBF713C,C4408CBF713C,8C5EABBF713C,AC65ABBF713C,44E855A4AE30""}",mtldKD0Eslrz,papa-duck,"[18.509696, -67.066926]","845FABBF713C,C4408CBF713C,8C5EABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
338,2991,58:18.4,58:18.4,civilian,"{""uuid"":""mtldKD0Eslrz"",""civilian"":{""info"":{""name"":""BRAVO"",""phone"":""1234567890"",""location"":""18.509696,-67.066926"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Beach time!!!""},""path"":""845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,D4438CBF713C,44E855A4AE30""}",mtldKD0Eslrz,papa-duck,"[18.509696, -67.066926]","845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,50AD81E350CC,D4438CBF713C,44E855A4AE30","[array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.509071, -67.074898]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
382,3034,01:19.1,01:19.1,civilian,"{""uuid"":""0P9pqRkY8yXv"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.510783,-67.066328"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""We can see the ocean!""},""path"":""3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",0P9pqRkY8yXv,papa-duck,"[18.510783, -67.066328]","3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.510783, -67.066328]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
385,3037,01:19.7,01:19.7,civilian,"{""uuid"":""0P9pqRkY8yXv"",""civilian"":{""info"":{""name"":""Bravo"",""phone"":""1234567890"",""location"":""18.510783,-67.066328"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""We can see the ocean!""},""path"":""3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",0P9pqRkY8yXv,papa-duck,"[18.510783, -67.066328]","3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.510783, -67.066328]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
394,3046,07:00.6,07:00.6,civilian,"{""uuid"":""NLZFD3yj4Oug"",""civilian"":{""info"":{""name"":""Beach Team"",""phone"":""1234567890"",""location"":""18.512703,-67.067243"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""=)""},""path"":""843E8CBF713C,3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",NLZFD3yj4Oug,papa-duck,"[18.512703, -67.067243]","843E8CBF713C,3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.512703, -67.067243]), array([ 18.510783, -67.066328]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
